order_id,customer_id,product_category,product_name,price,quantity,discount_pct,purchase_amount,payment_method,device,session_duration_mins,order_date,returned
ORD082,C003,Electronics,Wireless Mouse,1200,2,0.0,2400.0,Credit Card,Tablet,57,2026-03-01 11:47,No
ORD083,C004,Grocery,Tea Pack,450,5,0.0,2250.0,UPI,Desktop,49,2026-04-13 10:19,Yes
ORD084,C005,Electronics,Headphones,4500,2,0.0,9000.0,Credit Card,Mobile App,80,2026-02-12 18:55,No
ORD085,C006,Electronics,Laptop,60000,1,0.05,57000.0,UPI,Mobile App,164,2026-01-24 12:55,No
ORD086,C007,Electronics,Smartphone,32000,1,0.05,30400.0,Credit Card,Mobile App,126,2026-02-18 10:51,No
ORD087,C008,Electronics,Smartphone,32000,1,0.0,32000.0,Credit Card,Desktop,136,2026-08-01 17:14,No
ORD088,C009,Grocery,Basmati Rice (5kg),650,2,0.05,1235.0,UPI,Tablet,47,2026-06-18 08:39,No
ORD089,C010,Home & Living,Memory Foam Pillow,1900,1,0.0,1900.0,UPI,Desktop,49,2026-02-24 16:04,No
ORD090,C011,Grocery,Basmati Rice (5kg),650,4,0.05,2470.0,UPI,Mobile App,53,2026-03-24 19:55,No
ORD091,C012,Electronics,Wireless Mouse,1200,2,0.0,2400.0,UPI,Mobile App,55,2026-02-18 12:52,No
ORD092,C013,Electronics,Headphones,4500,2,0.15,7650.0,UPI,Desktop,85,2026-05-10 19:19,No
ORD093,C014,Grocery,Olive Oil (1L),950,2,0.1,1710.0,Net Banking,Mobile App,44,2026-07-18 13:38,No
ORD094,C015,Electronics,Wireless Mouse,1200,3,0.0,3600.0,Credit Card,Desktop,67,2026-07-25 20:11,No
ORD095,C016,Grocery,Basmati Rice (5kg),650,2,0.0,1300.0,Net Banking,Mobile App,48,2026-02-03 15:22,No
ORD096,C017,Home & Living,Desk Lamp,1500,1,0.0,1500.0,Credit Card,Mobile App,46,2026-06-29 14:52,No
ORD097,C018,Grocery,Basmati Rice (5kg),650,1,0.05,617.5,COD,Mobile App,33,2026-04-24 21:32,No
ORD098,C019,Home & Living,Desk Lamp,1500,2,0.1,2700.0,UPI,Mobile App,51,2026-07-23 15:40,No
ORD099,C020,Electronics,Wireless Mouse,1200,2,0.0,2400.0,Credit Card,Mobile App,53,2026-02-11 08:40,No
ORD100,C001,Home & Living,Cookware Set,4800,1,0.1,4320.0,UPI,Mobile App,69,2026-03-09 21:58,No
