Question Text,Question Type,Points,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Question Media,Options Media,Resource
"A luxury wristwatch sales dataset has missing values in the 'watch_price' column. The prices have extreme high-end outliers (e.g. standard watches ₹5,000, but one rare collector piece is ₹5,00,00,000). Why should you impute with median rather than mean?",single answer,1,"Because mean requires strings, while median works on integers.","The median is robust against extreme outliers and represents the typical watch price, whereas the mean would be distorted upward.","Pandas will throw a syntax error if you calculate mean on numbers greater than 10,000.",The mean will always equal zero when there are missing values.,,2,text,text,
"In an e-commerce customer table, 5 rows have a missing 'city' value. What is the standard statistical technique for imputing missing categorical attributes?",single answer,1,Fill missing values with the Mode (the most frequently occurring city),Fill missing values with the Mean of the city names,Convert the city names to floats and take the median,Multiply the customer_id by 2,,1,text,text,
"Due to a network lag glitch, a user clicked 'Submit Order' three times, generating identical duplicate rows in orders_df. Which Pandas method will eliminate these duplicate rows while keeping the first occurrence?",single answer,1,orders_df.remove_clones(),orders_df.drop_duplicates(),orders_df.clean_unique(),orders_df.filter_twins(),,2,text,text,
"Users typed city names haphazardly: [' bangalore ', 'Bangalore', 'BANGALORE', 'bangalore']. What Pandas chain will standardize all these entries into clean 'Bangalore'?",single answer,1,df['city'].astype(str).str.strip().str.title(),df['city'].to_clean_text(),df['city'].fix_casing(),df['city'].str.trim_capital(),,1,text,text,
"In an online electronics shop, you want to calculate net sales after applying a discount. Which line of code correctly creates the new column 'net_sales'?",single answer,1,df['net_sales'] = df['unit_price'] * df['quantity'] * (1 - df['discount_pct']),df['net_sales'] = df['unit_price'] / (df['quantity'] - df['discount_pct']),df['net_sales'] = df['unit_price'] + df['discount_pct'],df['net_sales'] = df['quantity'].sum() * df['discount_pct'].mean(),,1,text,text,
You want to find all gamers from 'Mumbai' who played more than 40 hours last week. Which Pandas syntax correctly filters the DataFrame?,single answer,1,df[(df['city'] == 'Mumbai') & (df['hours_played'] > 40)],df[df['city'] == 'Mumbai' and df['hours_played'] > 40],df.where('Mumbai' && 40),"df.filter(city='Mumbai', hours_played > 40)",,1,text,text,
"To display the top 5 highest-scoring players on an arcade leaderboard, which code snippet ranks scores from highest to lowest?",single answer,1,"df.sort_values(by='score', ascending=False).head(5)","df.sort_values(by='score', ascending=True).head(5)","df.order_by('score', direction='high').limit(5)","df.arrange('score', reverse=True).first(5)",,1,text,text,
What does this analytical query calculate for an online pizza chain?,single answer,1,The average delivery time in minutes for each city in the dataset,The total number of cities that offer 30-minute delivery,The maximum price of a pizza across all cities combined,The sum of all customer phone numbers grouped by city,,1,code,text,df.groupby('city')['delivery_time_mins'].mean()
"A music app has a 'users' table (all registered accounts) and a 'premium_subscribers' table (only paying accounts). If you want a report containing EVERY registered user, along with their subscription plan if they have one (and NaN if they don't), which join must you perform?",single answer,1,INNER JOIN on 'user_id',LEFT JOIN from 'users' to 'premium_subscribers' on 'user_id',CROSS JOIN on 'user_id',DROP JOIN on 'user_id',,2,text,text,
"You want to create a summary matrix where rows are 'movie_genre', columns are 'show_time' (Morning, Evening, Night), and cells show the sum of 'box_office_revenue'. Which Pandas tool is best designed for this?",single answer,1,"pd.pivot_table(df, index='movie_genre', columns='show_time', values='box_office_revenue', aggfunc='sum')","df.melt(index='movie_genre', values='show_time')","df.join_matrix('movie_genre', 'show_time')",df.transpose().sum(),,1,text,text,
"In an e-commerce shop, 95% of orders are ₹500, but a few corporate bulk orders reach ₹10,00,000. This pulls the Mean far to the right of the Median (Mean > Median). What is the statistical term for this distribution?",single answer,1,Right-Skewed (Positively Skewed) Distribution,Left-Skewed (Negatively Skewed) Distribution,Perfect Gaussian Normal Distribution,Bimodal Symmetrical Distribution,,1,text,text,
You want to analyze whether longer browsing time on a sneaker website leads to higher shopping cart spend. Both 'session_duration_mins' and 'purchase_amount' are continuous numerical variables. Which visualization should you choose?,single answer,1,Pie Chart,Scatter Plot,Stacked Bar Chart,Treemap,,2,text,text,
"A junior analyst calculates a high positive correlation (r = 0.94) between sunscreen sales and shark attacks during summer months, and enthusiastically concludes: 'Applying sunscreen causes sharks to attack tourists!' What fundamental analytics principle did they violate?",single answer,1,P-hacking principle,Correlation does not imply causation (a lurking variable like hot weather explains both),Standard Deviation must always be zero,Outliers can only occur in winter,,2,text,text,
"In A/B testing a new mobile checkout button, how does Bayesian analysis differ fundamentally from the Classical (Frequentist) approach?",single answer,1,Bayesian incorporates prior domain knowledge/beliefs and updates them with new observed evidence to form a posterior probability distribution.,"Bayesian analysis cannot handle numbers, only written text.",Classical testing requires machine learning neural networks; Bayesian only uses addition.,Bayesian analysis rejects any data collected from mobile devices.,,1,text,text,
"You conducted an end-to-end customer segmentation analysis discovering that the top 10% of 'VIP High-Spenders' generate 85% of total company revenue. When presenting your final analytics project story to the executive board, what should be your final step?",single answer,1,Show raw terminal printouts and bash commands,"Deliver clear, actionable prescriptive recommendations (e.g. launch an exclusive VIP rewards tier to boost retention)",Tell management to learn Python and Pandas to figure out what to do,Delete the dataset to save cloud storage costs,,2,text,text,
